No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation
1,146.500 aprs,146.5,146.5,A-Analog,Mid,25K,Off,Off,Wash 1,Group Call,KI7DLN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,Off,Analog,1,0,Off
2,144.39 aprs Rx,144.39,144.39,A-Analog,Mid,25K,Off,Off,Wash 1,Group Call,KI7DLN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,On,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,Off,Analog,1,0,Off
3,4.39 Alert 100.0,144.39,144.39,A-Analog,Low,25K,Off,100,Wash 1,Group Call,KI7DLN,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,Off,Analog,1,0,Off
4,APRS BM 435 TS2,435,435,D-Digital,Mid,12.5K,Off,Off,APRS 31099 PC,Private Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,On,Digital,4,0,On
5,APRS BM 434 TS1,434,434,D-Digital,Mid,12.5K,Off,Off,APRS 31099 PC,Private Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,On,Digital,4,0,On
6,APRS BM 434 TS2,434,434,D-Digital,Mid,12.5K,Off,Off,APRS 31099 PC,Private Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,On,Digital,5,0,On
7,APRS BM 433 TS2,433,433,D-Digital,Mid,12.5K,Off,Off,APRS 31099 PC,Private Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,On,Digital,5,0,On
8,APRS BM 432 TS2,432,432,D-Digital,Mid,12.5K,Off,Off,APRS 31099 PC,Private Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,On,Digital,5,0,On
9,APRS BM 431 TS2,431,431,D-Digital,Mid,12.5K,Off,Off,APRS 31099 PC,Private Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,2,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,End Of Transmission,On,Digital,5,0,On
10,BawFaw Audio Tes,440.4375,445.7375,D-Digital,High,12.5K,Off,Off,Audio Test,Group Call,KI7DLN,Same Color Code,Carrier,Off,1,1,1,Off,1,2,BawFaw/Ferndale,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,0,0,Off,Off,Off,Off,Off,Off,1,0,Off
