"No.","Scan List Name","Scan Channel Member","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 2","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","BawFaw/Ferndale","BawFaw BC 1|BawFaw Bridge 2|BawFaw Cal 1|BawFaw Canada 2|BawFaw Hawaii 2|BawFaw I-5|BawFaw Idaho 1|BawFaw Local 1|BawFaw Local 2|BawFaw Montana|BawFaw NA 2|BawFaw Oregon 1|BawFaw Parrot|BawFaw PNW 1|BawFaw PNW 2|BawFaw PS 1|BawFaw PS 2|BawFaw SNARS 2|BawFaw TAC 1|BawFaw TAC 2|BawFaw TAC 3|BawFaw TAC 310|BawFaw TAC 311|BawFaw TAC 312|BawFaw TAC Eng 2|BawFaw USA 2|BawFaw Wash 1|BawFaw Wash 2|BawFaw WW Eng|BawFaw WW2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"2","Bellingham UHF","B'ham BC 1|B'ham Bridge 2|B'ham Cal 1|B'ham Canada 2|B'ham Hawaii 1|B'ham I-5|B'ham Idaho 1|B'ham Local 1|B'ham Local 2|B'ham Montana 2|B'ham NA 2|B'ham Oregon 1|B'ham Parrot|B'ham PNW 1|B'ham PNW 2|B'ham PS 1 UHF|B'ham PS 2 UHF|B'ham SNARS 2|B'ham TAC 1|B'ham TAC 2|B'ham TAC 3|B'ham TAC 310|B'ham TAC 311|B'ham TAC 312|B'ham TAC Eng 2|B'ham USA 2|B'ham Wash 1|B'ham Wash 2|B'ham WW 2|B'ham WW 2 Eng","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"3","Bellingham VHF","B'ham PS 1 VHF|B'ham PS 2 VHF|B'ham/BC 1|B'ham/Bridge 2|B'ham/Cal 1|B'ham/Canada 2|B'ham/Hawaii 1|B'ham/I-5|B'ham/Idaho 1|B'ham/Local 1|B'ham/Local 2|B'ham/Montana 2|B'ham/NA 2|B'ham/Oregon1|B'ham/Parrot|B'ham/PNW 1|B'ham/PNW 2|B'ham/SNARS 2|B'ham/TAC 1|B'ham/TAC 2|B'ham/TAC 3|B'ham/TAC 310|B'ham/TAC 311|B'ham/TAC 312|B'ham/TAC Eng 2|B'ham/USA 2|B'ham/Wash 1 V|B'ham/Wash 2 V|B'ham/WW 2|B'ham/WW Eng 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"4","Bremerton/Gold","Gold BC 1|Gold Bridge 2|Gold California|Gold Canada 2|Gold Hawaii 2|Gold I-5|Gold Local 1|Gold Local 2|Gold Montana 2|Gold NA 2|Gold Oregon 1|Gold Parrot|Gold PNW 1|Gold PNW 2|Gold PNW Reg 2|Gold PS 1|Gold PS 2|Gold SNARS 2|Gold TAC 1|Gold TAC 2|Gold TAC 3|Gold TAC 310|Gold TAC 311|Gold TAC 312|Gold TAC 313|Gold TAC 314|Gold TAC 315|Gold TAC 316|Gold TAC 317|Gold TAC 318|Gold TAC 319|Gold TAC Eng 123|Gold USA 2|Gold Wash 1|Gold Wash 2|Gold WW 2|Gold WW Eng 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"5","Bridget 434","Bridget Cascades|Bridget I-5|Bridget Idaho 1|Bridget Local 2|Bridget MPRG1-2|Bridget Oregon 1|Bridget Parrot|Bridget PNW 1|Bridget PNW 2|Bridget PS 1|Bridget PS 2|Bridget TAC 1|Bridget TAC 2|Bridget TAC 310|Bridget TAC 314|Bridget TAC 8|Bridget TG 9|Bridget Wash 1|Bridget Wash 2|MM - PS 1 434.0|MM - PS 2 434.0","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"6","Buxton Oregon","Buxton I-5|Buxton Local 1|Buxton Local 2|Buxton Oregon 1|Buxton Parrot|Buxton PNW 1|Buxton PNW 2|Buxton TAC 310|Buxton Wash 1|Buxton Wash 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"7","Colton Oregon","Colton I-5|Colton Local 1|Colton Local 2|Colton Oregon 1|Colton Parrot|Colton PNW 1|Colton PNW 2|Colton TAC 310|Colton WASH 1|Colton WASH 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"8","Couer d' Alene","CDA Bridge 2|CDA Cascades E.|CDA Idaho 1|CDA Idaho ARES|CDA Local 1|CDA Local 2|CDA Montana 2|CDA Mountain 2|CDA MPRG|CDA Oregon 1|CDA Parrot|CDA PNW 1|CDA PNW 2|CDA SNARS 2|CDA TAC 1|CDA TAC 2|CDA TAC 3|CDA TAC 310|CDA TAC 311|CDA TAC 312|CDA TAC 313|CDA TAC 314|CDA TAC 315|CDA TAC 316|CDA TAC 317|CDA TAC 318|CDA TAC 319|CDA Wash 1|CDA Wash 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"9","Seattle/Cougar","Cougar BC 1|Cougar Bridge 2|Cougar Cal 1|Cougar Canada 2|Cougar Hawaii 1|Cougar I-5|Cougar Local 1|Cougar Local 2|Cougar Michigan|Cougar NA 2|Cougar Oregon 1|Cougar Parrot 1|Cougar PNW 1|Cougar PNW 2|Cougar PNW Reg 2|Cougar PS 1|Cougar PS 2|Cougar SNARS 2|Cougar TAC 1|Cougar TAC 2|Cougar TAC 3|Cougar TAC 310|Cougar TAC 311|Cougar TAC 312|Cougar TAC Eng 2|Cougar USA 2|Cougar Wash 1|Cougar Wash 2|Cougar Worldwide|Cougar WW Eng 2|Cougr Idaho 1","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
"10","Enumclaw Baldi","Baldi BC 1|Baldi Bridge 2|Baldi California|Baldi Canada 2|Baldi Comm 1|Baldi Comm 2|Baldi DCI 1|Baldi DCI 2|Baldi Fusion 2|Baldi Hawaii 1|Baldi I-5|Baldi Idaho 1|Baldi Local 1|Baldi Local 2|Baldi Michigan 1|Baldi Monana 2|Baldi Mountain 2|Baldi NA 2|Baldi Oregon 1|Baldi Parrot|Baldi PNW 1|Baldi PNW 2|Baldi PNW Reg 2|Baldi PS 1|Baldi PS 2|Baldi SNARS 2|Baldi TAC 1|Baldi TAC 2|Baldi TAC 3|Baldi TAC 310|Baldi TAC 311|Baldi TAC 312|Baldi TAC 313|Baldi TAC 314|Baldi TAC 315|Baldi TAC 316|Baldi TAC 317|Baldi TAC 318|Baldi TAC 319|Baldi TAC Eng 2|Baldi USA 2|Baldi Wash 1|Baldi Wash 2|Baldi WW 2|Baldi WW Eng 2","Off","Off","Off","Off","Selected","0.5","0.5","0.1","0.1"
